#{"t_start": 1763328620.2296972, "env_id": "GridWorldMoving-v0"}
r,l,t
-71.0,22,17.84581
-173.0,51,17.974981
-132.0,44,18.003129
-27.0,14,18.011566
2.0,6,18.015609
6.0,8,18.020843
-14.0,13,18.028867
6.0,8,18.034882
-110.0,30,18.053805
-21.0,12,18.062107
-415.0,100,18.12729
-7.0,9,18.227259
-113.0,31,18.247671
-2.0,9,18.254097
-60.0,25,18.270268
-143.0,46,18.299886
-218.0,56,18.335781
-172.0,44,18.364619
-142.0,49,18.485442
11.0,8,18.490594
5.0,10,18.497629
-17.0,14,18.50599
-47.0,24,18.522048
-51.0,22,18.536051
-140.0,40,18.562078
-77.0,24,18.578911
15.0,5,18.581911
-121.0,37,18.605917
-4.0,8,18.610917
6.0,8,18.61623
32.0,1,18.617356
26.0,3,18.619355
26.0,3,18.621355
-19.0,13,18.630368
-25.0,15,18.639439
-16.0,12,18.647947
-87.0,24,18.751849
-54.0,23,18.766144
-12.0,9,18.772429
21.0,3,18.774426
12.0,6,18.778425
-29.0,13,18.786517
14.0,7,18.791517
32.0,1,18.792517
-67.0,24,18.80776
10.0,5,18.810763
-35.0,15,18.820788
-43.0,21,18.834279
20.0,5,18.837785
-21.0,12,18.845303
11.0,8,18.850544
26.0,3,18.852553
23.0,4,18.855553
-3.0,11,18.862552
-9.0,8,18.867636
-11.0,12,18.874874
32.0,1,18.875874
-36.0,22,18.890095
32.0,1,18.891105
32.0,1,18.891105
-45.0,15,18.901505
-104.0,33,19.008746
-32.0,14,19.017756
-25.0,15,19.027035
-6.0,12,19.035038
0.0,10,19.041287
-207.0,64,19.082296
-104.0,38,19.107372
-37.0,19,19.11938
-115.0,45,19.146402
7.0,6,19.150419
0.0,10,19.246403
6.0,8,19.25145
-23.0,16,19.262449
8.0,4,19.264449
-22.0,14,19.274055
-36.0,17,19.285188
-44.0,18,19.296186
-60.0,20,19.309194
3.0,9,19.315193
6.0,8,19.320193
-169.0,58,19.357841
-58.0,21,19.370854
-4.0,8,19.375807
-72.0,24,19.391635
-115.0,30,19.500571
-57.0,29,19.519634
-98.0,36,19.543184
32.0,1,19.54419
-11.0,12,19.551336
8.0,4,19.554348
32.0,1,19.555344
-5.0,10,19.561343
26.0,3,19.563343
-87.0,29,19.582088
-58.0,21,19.596433
-41.0,17,19.607566
-80.0,30,19.626565
13.0,4,19.62957
8.0,9,19.634572
-315.0,85,19.776735
-92.0,29,19.796076
32.0,1,19.796076
-119.0,33,19.817195
-134.0,43,19.844715
20.0,5,19.848729
-25.0,10,19.854724
-123.0,41,19.881081
-75.0,30,19.901985
18.0,4,19.904359
-17.0,9,19.910849
26.0,3,19.913209
20.0,5,19.916518
-80.0,25,20.03175
-63.0,21,20.046544
-46.0,17,20.058633
-39.0,18,20.070819
-169.0,43,20.098668
-32.0,19,20.111686
-102.0,39,20.136972
17.0,6,20.140972
-36.0,17,20.152591
-354.0,83,20.292624
18.0,4,20.295623
-2.0,9,20.300634
-135.0,45,20.32987
-28.0,16,20.340147
-2.0,9,20.345654
26.0,3,20.347654
26.0,3,20.349654
-30.0,20,20.362011
-53.0,21,20.376307
32.0,1,20.376307
-113.0,46,20.406952
-61.0,27,20.424169
-124.0,43,20.54478
1.0,8,20.549784
-72.0,24,20.566251
-154.0,43,20.594673
-5.0,10,20.601122
-51.0,17,20.612694
-100.0,35,20.635196
29.0,2,20.637196
-16.0,12,20.644704
-112.0,39,20.670034
-46.0,22,20.683261
-12.0,14,20.692299
-166.0,47,20.811492
-112.0,34,20.833667
6.0,8,20.838666
-60.0,25,20.855185
0.0,10,20.861184
-24.0,13,20.870188
14.0,7,20.874183
-24.0,13,20.883182
15.0,5,20.886182
-163.0,51,20.918774
-269.0,68,21.04432
-170.0,45,21.072611
13.0,4,21.075611
29.0,2,21.076611
-36.0,17,21.08761
-64.0,28,21.10661
-2.0,9,21.111608
4.0,7,21.116608
-130.0,35,21.139609
-173.0,41,21.166115
17.0,6,21.170115
-24.0,18,21.181115
-152.0,44,21.308673
-3.0,11,21.315674
12.0,6,21.319672
-99.0,38,21.343861
-27.0,14,21.35337
1.0,8,21.358369
-25.0,15,21.368368
32.0,1,21.368368
10.0,5,21.372368
9.0,7,21.376407
-85.0,25,21.390555
-91.0,27,21.406554
-1.0,7,21.410554
26.0,3,21.412553
32.0,1,21.413553
21.0,3,21.415555
26.0,3,21.417553
-65.0,25,21.434013
32.0,1,21.435055
-287.0,74,21.571607
-12.0,9,21.578606
-93.0,31,21.598436
-63.0,26,21.616055
24.0,2,21.617056
-49.0,23,21.631635
-29.0,13,21.640129
-179.0,58,21.677781
-211.0,62,21.718076
-79.0,33,21.828674
-37.0,19,21.841678
-81.0,32,21.862186
