#{"t_start": 1763327215.4783542, "env_id": "GridWorldMoving-v0"}
r,l,t
21.0,3,24.561016
-91.0,27,24.581014
-10.0,10,24.589011
-29.0,18,24.602516
-38.0,21,24.617091
-7.0,9,24.62409
21.0,3,24.626524
29.0,2,24.627534
2.0,11,24.63602
32.0,1,24.637031
-34.0,13,24.649031
21.0,3,24.651122
-8.0,11,24.661119
-59.0,28,24.687407
21.0,3,24.69042
24.0,2,24.692573
-4.0,8,24.700528
-12.0,14,24.809806
24.0,2,24.811818
-91.0,27,24.833495
-32.0,19,24.850955
32.0,1,24.851963
32.0,1,24.852973
17.0,6,24.858513
4.0,7,24.864822
18.0,4,24.868927
-274.0,73,24.940681
21.0,3,24.943681
-63.0,21,24.965688
-172.0,44,25.016939
29.0,2,25.01894
-2.0,9,25.030421
-39.0,18,25.044832
1.0,8,25.049832
12.0,6,25.053834
-275.0,70,25.248545
-37.0,14,25.259395
-20.0,15,25.271275
-122.0,39,25.30537
12.0,6,25.309885
32.0,1,25.310882
-186.0,52,25.352345
9.0,7,25.357344
-101.0,27,25.377706
23.0,4,25.380536
6.0,8,25.387058
-36.0,17,25.399027
-147.0,39,25.529395
29.0,2,25.530468
-2.0,9,25.537475
12.0,6,25.542487
26.0,3,25.544484
23.0,4,25.547482
-20.0,15,25.559302
-2.0,9,25.566356
-136.0,37,25.596034
-28.0,16,25.609035
-6.0,12,25.619544
14.0,7,25.625546
32.0,1,25.626545
18.0,4,25.629546
-20.0,10,25.637542
-38.0,21,25.654005
0.0,10,25.6615
29.0,2,25.663512
-104.0,28,25.684323
-53.0,26,25.796757
24.0,2,25.797757
-32.0,14,25.80899
9.0,7,25.814265
-392.0,99,25.883856
32.0,1,25.883856
-40.0,15,25.89378
-8.0,11,25.900019
-165.0,50,25.937044
29.0,2,25.938054
-138.0,31,25.960366
29.0,2,25.962368
-13.0,16,25.97398
-20.0,10,26.08591
29.0,2,26.086907
32.0,1,26.087907
-7.0,9,26.095083
26.0,3,26.097082
12.0,6,26.101083
13.0,4,26.104091
3.0,9,26.11109
29.0,2,26.11309
29.0,2,26.11409
32.0,1,26.11509
-157.0,49,26.154599
-15.0,10,26.165224
-14.0,13,26.176862
4.0,7,26.182827
-5.0,10,26.190267
-50.0,20,26.207695
-3.0,11,26.216695
29.0,2,26.218214
-109.0,33,26.242221
-9.0,8,26.24822
5.0,10,26.256739
32.0,1,26.257738
-23.0,11,26.265292
-65.0,30,26.383532
-57.0,24,26.401534
-65.0,25,26.420057
-88.0,36,26.446049
-44.0,18,26.459047
-120.0,35,26.484046
-2.0,9,26.490043
9.0,7,26.495043
-48.0,21,26.510044
-26.0,17,26.52255
-35.0,20,26.536548
9.0,7,26.541548
6.0,8,26.547547
9.0,7,26.552547
24.0,2,26.554546
0.0,10,26.561545
-33.0,21,26.677373
-18.0,16,26.689371
32.0,1,26.690371
23.0,4,26.693371
-11.0,12,26.703378
-24.0,13,26.713377
-84.0,28,26.734894
32.0,1,26.735893
11.0,8,26.742892
-5.0,10,26.749891
-5.0,10,26.757891
21.0,3,26.759891
-68.0,26,26.778888
-2.0,9,26.785887
18.0,4,26.788886
-12.0,9,26.794885
-25.0,15,26.805892
23.0,4,26.808892
-38.0,16,26.820409
17.0,6,26.824409
-92.0,29,26.846406
21.0,3,26.848405
4.0,7,26.853405
-13.0,11,26.948892
-5.0,10,26.956891
-39.0,23,26.973347
-85.0,25,26.989348
-239.0,73,27.044868
-8.0,11,27.052868
-90.0,30,27.075865
-16.0,12,27.084863
-48.0,21,27.10086
-55.0,25,27.119385
5.0,10,27.126385
-38.0,16,27.233115
-12.0,14,27.243114
-199.0,53,27.281109
-111.0,37,27.309108
-84.0,38,27.336612
-59.0,23,27.35361
18.0,4,27.35661
-17.0,14,27.367608
-102.0,39,27.395605
-133.0,46,27.534052
-49.0,18,27.54805
-103.0,36,27.576047
-61.0,27,27.596044
-58.0,21,27.61205
-174.0,53,27.650563
6.0,8,27.656562
2.0,11,27.665561
-58.0,26,27.684559
23.0,4,27.687559
23.0,4,27.691558
-9.0,13,27.701557
-67.0,24,27.819744
-1.0,7,27.824796
14.0,7,27.829795
-129.0,38,27.859792
21.0,3,27.861797
-19.0,13,27.871794
26.0,3,27.874793
20.0,5,27.877794
-109.0,33,27.90179
-78.0,26,27.921312
24.0,2,27.922313
-246.0,72,27.977306
-46.0,22,27.994304
-15.0,10,28.002303
-138.0,41,28.129746
-45.0,20,28.144745
-14.0,8,28.150743
21.0,3,28.153742
11.0,8,28.158741
-79.0,28,28.179739
-31.0,17,28.193738
-7.0,9,28.200735
-160.0,50,28.243261
-41.0,17,28.25726
-56.0,22,28.274257
-31.0,17,28.287256
-13.0,11,28.296254
-111.0,42,28.43676
-43.0,21,28.452049
-77.0,29,28.475358
29.0,2,28.477363
-9.0,8,28.484359
29.0,2,28.485361
-104.0,28,28.510892
17.0,6,28.517886
-19.0,13,28.529395
-82.0,29,28.55802
-64.0,23,28.578022
-127.0,34,28.606029
12.0,6,28.611028
-15.0,10,28.61803
-52.0,24,28.74471
32.0,1,28.74471
-303.0,76,28.822355
23.0,4,28.825355
-234.0,63,28.877355
29.0,2,28.87936
-7.0,14,28.890908
-42.0,19,28.90791
18.0,4,28.911915
-110.0,35,28.940423
32.0,1,28.940423
23.0,4,28.943424
5.0,5,28.947423
-106.0,37,29.072496
-45.0,20,29.088494
-72.0,29,29.109495
-59.0,28,29.13
-11.0,12,29.138999
-59.0,23,29.156996
