#{"t_start": 1763361708.8632033, "env_id": "GridWorldMoving-v0"}
r,l,t
-13.0,11,53.506534
3.0,9,53.517533
7.0,6,53.525532
29.0,2,53.528532
-38.0,16,53.55253
-53.0,16,53.580116
-180.0,50,53.831758
7.0,6,53.841499
-49.0,23,53.87437
-7.0,9,53.88682
-13.0,11,53.903846
1.0,8,53.916458
8.0,9,53.931156
-4.0,8,53.944404
-40.0,20,53.986897
9.0,7,54.002926
23.0,4,54.011525
-52.0,19,54.045376
-85.0,30,54.092701
-4.0,8,54.106647
32.0,1,54.108779
-130.0,40,54.17364
8.0,9,54.382258
24.0,2,54.385258
12.0,6,54.394255
-152.0,44,54.454424
-10.0,10,54.468492
-13.0,11,54.483558
